Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DEBIT,05/29/2026,"MONTHLY SERVICE FEE",-17.50,FEE_TRANSACTION,-91.79,,
DEBIT,05/29/2026,"ROCKAWAY FUEL EAST ROCKAWAY NY       269749  05/29",-37.79,DEBIT_CARD,-74.29,,
DEBIT,05/29/2026,"SP+AFF * YAKIRABELLA 855-423-3729 CA         05/29",-36.50,DEBIT_CARD,-36.50,,
DEBIT,05/29/2026,"Zelle payment to Josh Perez JPM99ciqy95a",-37.00,CHASE_TO_PARTNERFI,0.00,,
DEBIT,05/29/2026,"Zelle payment to Josh Perez JPM99ciqxcgg",-524.69,CHASE_TO_PARTNERFI,37.00,,
DEBIT,05/29/2026,"Zelle payment to Rudy JPM99ciqx56i",-844.85,CHASE_TO_PARTNERFI,561.69,,
DEBIT,05/29/2026,"Zelle payment to Cristie JPM99ciqx9sx",-483.94,CHASE_TO_PARTNERFI,1406.54,,
DEBIT,05/29/2026,"Zelle payment to William  Franklin JPM99ciqti17",-782.33,CHASE_TO_PARTNERFI,1890.48,,
DEBIT,05/29/2026,"ORIG CO NAME:MARCONE                ORIG ID:2430728583 DESC DATE:052826 CO ENTRY DESCR:PAYMENT   SEC:PPD    TRACE#:071000284782006 EED:260529   IND ID:                             IND NAME:MAJOR APPLIANCE SERVI TRN: 1494782006TC",-158.71,ACH_DEBIT,2672.81,,
DEBIT,05/29/2026,"ORIG CO NAME:Roe Oil Company        ORIG ID:1208731395 DESC DATE:       CO ENTRY DESCR:ACH CollecSEC:CCD    TRACE#:121137724192485 EED:260529   IND ID:1258                         IND NAME:Major Appliance TRN: 1494192485TC",-253.19,ACH_DEBIT,2831.52,,
DEBIT,05/29/2026,"SP PETITCLAIR PETITCLAIR.CO NJ               05/28",-86.35,DEBIT_CARD,3084.71,,
DEBIT,05/29/2026,"AMAZON MKTPL*MV2JJ7M Amzn.com/bill WA        05/29",-40.76,DEBIT_CARD,3171.06,,
DEBIT,05/29/2026,"GENTECH SOLUTIONS 718-4368324 NY             05/28",-459.90,DEBIT_CARD,3211.82,,
DEBIT,05/29/2026,"EMBED SOCIAL PATRICH                         05/28",-29.00,DEBIT_CARD,3671.72,,
DEBIT,05/29/2026,"TWILIO INC WWW.TWILIO.CO CA                  05/28",-25.14,DEBIT_CARD,3700.72,,
DEBIT,05/29/2026,"AMAZON MKTPL*EH4LY11 Amzn.com/bill WA        05/28",-10.33,DEBIT_CARD,3725.86,,
DEBIT,05/29/2026,"AMAZON MKTPL*WQ17S4G Amzn.com/bill WA        05/29",-19.02,DEBIT_CARD,3736.19,,
CREDIT,05/29/2026,"Online Transfer from MMA ...6523 transaction#: 29398521576",37.00,ACCT_XFER,3755.21,,
CREDIT,05/29/2026,"ORIG CO NAME:SERVICEPOWER           ORIG ID:7522160760 DESC DATE:052826 CO ENTRY DESCR:I600052126SEC:PPD    TRACE#:091000014914223 EED:260529   IND ID:                             IND NAME:MAJOR APPLIANCE REPAIR TRN: 1494914223TC",310.00,ACH_CREDIT,3718.21,,
CREDIT,05/29/2026,"ORIG CO NAME:PEERLESS PREMIER       ORIG ID:1370457230 DESC DATE:       CO ENTRY DESCR:VENDOR PMTSEC:CCD    TRACE#:041000129396692 EED:260529   IND ID:MAJOR APPL                   IND NAME:MAJOR APPL-NEW             109108,109164\ TRN: 1499396692TC",310.00,ACH_CREDIT,3408.21,,
CREDIT,05/29/2026,"Online Transfer from MMA ...6523 transaction#: 29398427883",483.94,ACCT_XFER,3098.21,,
CREDIT,05/29/2026,"Online Transfer from MMA ...6523 transaction#: 29398465057",524.69,ACCT_XFER,2614.27,,
CREDIT,05/29/2026,"Online Transfer from MMA ...6523 transaction#: 29398461826",844.85,ACCT_XFER,2089.58,,
CREDIT,05/29/2026,"ORIG CO NAME:MERCH BANKCARD         ORIG ID:1470770502 DESC DATE:052826 CO ENTRY DESCR:NET SETLMTSEC:CCD    TRACE#:242071751215028 EED:260529   IND ID:520004810165                 IND NAME:MAJOR APPLIANCE SERVIC        MERCH BANKCARD  NET SETLMT   520 004810165     MAJOR APPLIANCE SERVI ICE CBC   MAJOR APPLIANCE SERV TRN: 1491215028TC",996.48,ACH_CREDIT,1244.73,,
CREDIT,05/29/2026,"ODP TRANSFER FROM SAVINGS ...7718",0.44,MISC_CREDIT,248.25,,
CHECK,05/28/2026,"CHECK 1417  ",-100.00,CHECK_PAID,247.81,1417,
DEBIT,05/28/2026,"Zelle payment to Shlomo Perkal JPM99cimdgbx",-130.00,CHASE_TO_PARTNERFI,347.81,,
DEBIT,05/28/2026,"SP+AFF * PETITCLAIR 855-423-3729 CA          05/28",-38.85,DEBIT_CARD,477.81,,
DEBIT,05/28/2026,"AMAZON MKTPL*384N92T Amzn.com/bill WA        05/28",-21.76,DEBIT_CARD,516.66,,
DEBIT,05/28/2026,"Amazon.com*PL4037BA3 Amzn.com/bill WA        05/28",-9.79,DEBIT_CARD,538.42,,
DEBIT,05/28/2026,"Klarna*adidas US Columbus OH                 05/28",-57.49,DEBIT_CARD,548.21,,
DEBIT,05/28/2026,"Amazon.com*G67341SF3 Amzn.com/bill WA        05/28",-30.54,DEBIT_CARD,605.70,,
DEBIT,05/28/2026,"GOOGLE *Google One 855-836-3987 CA           05/27",-0.53,DEBIT_CARD,636.24,,
DEBIT,05/28/2026,"AMI MAGAZINE 718-534-8800 NJ                 05/27",-29.99,DEBIT_CARD,636.77,,
DEBIT,05/28/2026,"Amazon.com*3B2U52EU3 Amzn.com/bill WA        05/27",-54.37,DEBIT_CARD,666.76,,
DEBIT,05/28/2026,"AMAZON MKTPL*BI41B40 Amzn.com/bill WA        05/27",-21.76,DEBIT_CARD,721.13,,
DEBIT,05/28/2026,"GOURMET GLATT - CEDARHU CEDARHURST NY        05/26",-196.04,DEBIT_CARD,742.89,,
CREDIT,05/28/2026,"ORIG CO NAME:MERCH BANKCARD         ORIG ID:1470770502 DESC DATE:052726 CO ENTRY DESCR:NET SETLMTSEC:CCD    TRACE#:242071754474459 EED:260528   IND ID:520004810165                 IND NAME:MAJOR APPLIANCE SERVIC        MERCH BANKCARD  NET SETLMT   520 004810165     MAJOR APPLIANCE SERVI ICE CBC   MAJOR APPLIANCE SERV TRN: 1484474459TC",898.77,ACH_CREDIT,938.93,,
DEBIT,05/27/2026,"BP#36611141346 BEACH FAR ROCKAWAY NY 357700  05/27",-48.02,DEBIT_CARD,40.16,,
CHECK,05/27/2026,"CHECK 1420  05/27",-100.00,CHECK_PAID,88.18,1420,
DEBIT,05/27/2026,"SP+AFF * WHOOPIKIDS 855-423-3729 CA          05/27",-55.98,DEBIT_CARD,188.18,,
DEBIT,05/27/2026,"SP+AFF * THE RUNWAY 855-423-3729 CA          05/27",-56.25,DEBIT_CARD,244.16,,
DEBIT,05/27/2026,"SP+AFF * APPARALEL 855-423-3729 CA           05/27",-38.52,DEBIT_CARD,300.41,,
DEBIT,05/27/2026,"ORIG CO NAME:MASSACHUSETTS MU       ORIG ID:E041590850 DESC DATE:260527 CO ENTRY DESCR:MMPAY     SEC:WEB    TRACE#:051400506058270 EED:260527   IND ID:301590271                    IND NAME:CHAIM  SHANET                                                                                                00000000000000000000 TRN: 1476058270TC",-56.99,ACH_DEBIT,338.93,,
DEBIT,05/27/2026,"ORIG CO NAME:MARCONE                ORIG ID:2430728583 DESC DATE:052626 CO ENTRY DESCR:PAYMENT   SEC:PPD    TRACE#:071000285566245 EED:260527   IND ID:                             IND NAME:MAJOR APPLIANCE SERVI TRN: 1475566245TC",-93.45,ACH_DEBIT,395.92,,
DEBIT,05/27/2026,"ORIG CO NAME:PENTAGON FEDERAL       ORIG ID:1530197038 DESC DATE:260525 CO ENTRY DESCR:TRNSFR DR SEC:WEB    TRACE#:256078446113018 EED:260527   IND ID:000034055245814              IND NAME:SHANET PAUL TRN: 1476113018TC",-327.41,ACH_DEBIT,489.37,,
DEBIT,05/27/2026,"THE NEXUS SCHOOL OF SCHOOL.THENEX NJ         05/27",-59.82,DEBIT_CARD,816.78,,
DEBIT,05/27/2026,"Zelle payment to Malka JPM99cih6ckk",-195.00,CHASE_TO_PARTNERFI,876.60,,
DEBIT,05/27/2026,"AMAZON MKTPL*HM7BW65 Amzn.com/bill WA        05/27",-31.56,DEBIT_CARD,1071.60,,
DEBIT,05/27/2026,"MANNA HEALTH MARKET LAWRENCE NY              05/26",-27.95,DEBIT_CARD,1103.16,,
DEBIT,05/27/2026,"AMAZON MKTPL*0W95N2Q Amzn.com/bill WA        05/27",-36.48,DEBIT_CARD,1131.11,,
DEBIT,05/27/2026,"KLARNA*CONVERSE WWW.KLARNA.CO DE             05/26",-20.00,DEBIT_CARD,1167.59,,
DEBIT,05/27/2026,"NYCDOT PARKNYC 212-748-6680 NY               05/27",-100.05,DEBIT_CARD,1187.59,,
DEBIT,05/27/2026,"KLARNA*LANDS  END WWW.KLARNA.CO DE           05/26",-33.71,DEBIT_CARD,1287.64,,
DEBIT,05/27/2026,"AMAZON MKTPL*6V9QT74 Amzn.com/bill WA        05/27",-28.18,DEBIT_CARD,1321.35,,
DEBIT,05/27/2026,"Amazon.com*UY2DA4IO3 Amzn.com/bill WA        05/27",-121.96,DEBIT_CARD,1349.53,,
CREDIT,05/27/2026,"REAL TIME TRANSFER RECD FROM ABA/CONTR BNK-021000021  FROM: GE Appliances REF: 5264012728_138881078 INFO: TEXT-RmtInf-5264012728 IID: 20260527021000021P1BRJPC00370001236 RECD: 06:04:43 TRN: 0005422147GA BREF: 0bc29f742ea5c007",1500.00,MISC_CREDIT,1471.49,,
CHECK,05/26/2026,"CHECK 1223  ",-100.00,CHECK_PAID,-28.51,1223,
CHECK,05/26/2026,"CHECK 1100  ",-100.00,CHECK_PAID,71.49,1100,
CHECK,05/26/2026,"CHECK 1325  ",-100.00,CHECK_PAID,171.49,1325,
CHECK,05/26/2026,"CHECK 1395  ",-100.00,CHECK_PAID,271.49,1395,
CHECK,05/26/2026,"CHECK 1211  ",-618.00,CHECK_PAID,371.49,1211,
CHECK,05/26/2026,"CHECK 1213  ",-150.00,CHECK_PAID,989.49,1213,
DEBIT,05/26/2026,"Zelle payment to Mike JPM99cifb14q",-90.00,CHASE_TO_PARTNERFI,1139.49,,
DEBIT,05/26/2026,"SQSP* DOMAIN#2360929 SQUARESPACE.C NY        05/26",-15.00,DEBIT_CARD,1229.49,,
DEBIT,05/26/2026,"Zelle payment to Zlata JPM99ciefoq7",-100.00,CHASE_TO_PARTNERFI,1244.49,,
DEBIT,05/26/2026,"SP+AFF * KLADE CHILDR 855-423-3729 CA        05/26",-57.43,DEBIT_CARD,1344.49,,
DEBIT,05/26/2026,"SP+AFF * WHOOPIKIDS 855-423-3729 CA          05/26",-51.78,DEBIT_CARD,1401.92,,
DEBIT,05/26/2026,"SP+AFF * BLEW BOUTIQU 855-423-3729 CA        05/26",-31.51,DEBIT_CARD,1453.70,,
DEBIT,05/26/2026,"DABBL JUSTDABBL.COM FL                       05/26",-19.99,DEBIT_CARD,1485.21,,
